ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
14557,"IBBETSON, Julius Caesar",1751-1800,1785,George Biggins' Ascent in Lunardi' Balloon,"Oil on canvas, 50,5 x 61 cm",historical,https://www.wga.hu/html/i/ibbetson/balloon.html
14558,"IBBETSON, Julius Caesar",1751-1800,1792,Landscape with Travellers,"Oil on canvas, 37 x 46 cm",landscape,https://www.wga.hu/html/i/ibbetson/landscap.html
14559,"IBBETSON, Julius Caesar",1751-1800,1811,"Market Day, Masham, North Yorkshire","Oil on canvas, 35 x 46 cm",genre,https://www.wga.hu/html/i/ibbetson/market.html
14560,"IBI, Sinibaldo",1501-1550,-,Marriage of the Virgin,"Oil on panel, 23 x 55 cm",religious,https://www.wga.hu/html/i/ibi/marriage.html
14561,"INDUNO, Gerolamo",1851-1900,1851,Volunteer Defending Rome,"Oil on cardboard, 35 x 27 cm",historical,https://www.wga.hu/html/i/induno/voluntee.html
14562,"INDUNO, Gerolamo",1851-1900,1871,Waiting for the Train,"Oil on canvas, 110 x 93 cm",genre,https://www.wga.hu/html/i/induno/waiting.html
14563,"INGLÉS, Jorge",1451-1500,1455,Saint Preaching,Panel,religious,https://www.wga.hu/html/i/ingles/saint_pr.html
14564,"INGRES, Jean-Auguste-Dominique",1801-1850,1801,Study of a Male Nude,"Oil on canvas, 100 x 80 cm",study,https://www.wga.hu/html/i/ingres/00ingres.html
14565,"INGRES, Jean-Auguste-Dominique",1801-1850,1804,"Portrait of Napoleon Bonaparte, First Consul","Oil on canvas, 227 x 147 cm",portrait,https://www.wga.hu/html/i/ingres/00ingrex.html
14566,"INGRES, Jean-Auguste-Dominique",1801-1850,1805,Monsieur Rivière,"Oil on canvas, 116 x 89 cm",portrait,https://www.wga.hu/html/i/ingres/012ingre.html
14567,"INGRES, Jean-Auguste-Dominique",1801-1850,1806,Napoleon I on the Imperial Throne,"Oil on canvas, 259 x 162 cm",portrait,https://www.wga.hu/html/i/ingres/010ingre.html
14568,"INGRES, Jean-Auguste-Dominique",1801-1850,1806,Napoleon I on the Imperial Throne (detail),"Oil on canvas, 259 x 162 cm",portrait,https://www.wga.hu/html/i/ingres/010ingrx.html
14569,"INGRES, Jean-Auguste-Dominique",1801-1850,1806,Madame Rivière,"Oil on canvas, 117 x 82 cm",portrait,https://www.wga.hu/html/i/ingres/011ingre.html
14570,"INGRES, Jean-Auguste-Dominique",1801-1850,1806,Mademoiselle Caroline Rivière,"Oil on canvas, 100 x 70 cm",portrait,https://www.wga.hu/html/i/ingres/01ingres.html
14571,"INGRES, Jean-Auguste-Dominique",1801-1850,1808,The Valpinçon Bather,"Oil on canvas, 146 x 97 cm",other,https://www.wga.hu/html/i/ingres/02ingres.html
14572,"INGRES, Jean-Auguste-Dominique",1801-1850,1808-25,Oedipus and the Sphynx,"Oil on canvas, 189 x 144 cm",mythological,https://www.wga.hu/html/i/ingres/071ingre.html
14573,"INGRES, Jean-Auguste-Dominique",1801-1850,1809,François-Marius Granet,"Oil on canvas, 75 x 53 cm",portrait,https://www.wga.hu/html/i/ingres/03ingres.html
14574,"INGRES, Jean-Auguste-Dominique",1801-1850,1811,Jupiter and Thetis,"Oil on canvas, 320 x 260 cm",mythological,https://www.wga.hu/html/i/ingres/03ingrex.html
14575,"INGRES, Jean-Auguste-Dominique",1801-1850,1813,The Dream of Ossian,"Oil on canvas, 348 x 275 cm",mythological,https://www.wga.hu/html/i/ingres/04ingres.html
14576,"INGRES, Jean-Auguste-Dominique",1801-1850,1813-40,Raphael and La Fornarina,Oil on canvas,other,https://www.wga.hu/html/i/ingres/072ingre.html
14577,"INGRES, Jean-Auguste-Dominique",1801-1850,1814,The Grand Odalisque,"Oil on canvas, 91 x 162 cm",other,https://www.wga.hu/html/i/ingres/05ingres.html
14578,"INGRES, Jean-Auguste-Dominique",1801-1850,1819,Roger Freeing Angelica,"Oil on canvas, 147 x 190 cm",mythological,https://www.wga.hu/html/i/ingres/06ingres.html
14579,"INGRES, Jean-Auguste-Dominique",1801-1850,1819,Paolo and Francesca,"Oil on canvas, 480 x 390 cm",other,https://www.wga.hu/html/i/ingres/07ingres.html
14580,"INGRES, Jean-Auguste-Dominique",1801-1850,1820,The Source,"Oil on canvas, 83 x 163 cm",mythological,https://www.wga.hu/html/i/ingres/09ingres.html
14581,"INGRES, Jean-Auguste-Dominique",1801-1850,1821,The Entry of the Future Charles V into Paris in 1358,"Oil on canvas, 47 x 56 cm",religious,https://www.wga.hu/html/i/ingres/10ingres.html
14582,"INGRES, Jean-Auguste-Dominique",1801-1850,1821,Portrait of Count Guryev,"Oil on canvas, 107 x 86 cm",portrait,https://www.wga.hu/html/i/ingres/10ingrex.html
14583,"INGRES, Jean-Auguste-Dominique",1801-1850,1822,Don Pedro of Toledo Kissing the Sword of Henri IV,"Oil on panel, 49 x 41 cm",historical,https://www.wga.hu/html/i/ingres/13ingrex.html
14584,"INGRES, Jean-Auguste-Dominique",1801-1850,1824,The Vow of Louis XIII,"Oil on canvas, 421 x 262 cm",religious,https://www.wga.hu/html/i/ingres/11ingres.html
14585,"INGRES, Jean-Auguste-Dominique",1801-1850,1827,The Apotheosis of Homer,"Oil on canvas, 386 x 512 cm",mythological,https://www.wga.hu/html/i/ingres/12ingres.html
14586,"INGRES, Jean-Auguste-Dominique",1801-1850,1832,Monsieur Bertin,"Oil on canvas, 116 x 95 cm",portrait,https://www.wga.hu/html/i/ingres/13ingres.html
14587,"INGRES, Jean-Auguste-Dominique",1801-1850,1832,The Sword of Henri IV,"Oil on canvas, 36 x 28 cm",historical,https://www.wga.hu/html/i/ingres/14ingres.html
14588,"INGRES, Jean-Auguste-Dominique",1801-1850,1851-53,Princess de Broglie,"Oil on canvas, 121 x 91 cm",portrait,https://www.wga.hu/html/i/ingres/15ingres.html
14589,"INGRES, Jean-Auguste-Dominique",1801-1850,1854,Joan of Arc at the Coronation of Charles VII in Reims Cathedral,"Oil on canvas, 240 x 178 cm",historical,https://www.wga.hu/html/i/ingres/161ingre.html
14590,"INGRES, Jean-Auguste-Dominique",1801-1850,1856,Madame Moitessier,"Oil on canvas, 120 x 92 cm",portrait,https://www.wga.hu/html/i/ingres/16ingres.html
14591,"INGRES, Jean-Auguste-Dominique",1801-1850,1862,The Turkish Bath,"Oil on canvas on wood, diameter 108 cm",genre,https://www.wga.hu/html/i/ingres/17ingres.html
14592,"INGRES, Jean-Auguste-Dominique",1801-1850,c. 1815,Portrait of a Girl,"Graphite pencil on paper, 280 x 207 mm",portrait,https://www.wga.hu/html/i/ingres/061ingre.html
14593,"INNESS, George",1851-1900,1857,Summer Days,"Oil on canvas, 103 x 144 cm",landscape,https://www.wga.hu/html/i/innes/1summer.html
14594,"INNESS, George",1851-1900,1878,Morning,"Oil on canvas, 76 x 114 cm",landscape,https://www.wga.hu/html/i/innes/2morning.html
14595,"IRIARTE, Ignacio de",1601-1650,1665,Landscape with Shepherds,"Oil on canvas, 106 x 194 cm",landscape,https://www.wga.hu/html/i/iriarte/landshep.html
14596,"IRIARTE, Ignacio de",1601-1650,c. 1660,Landscape with Figures,"Oil on canvas, 108 x 163 cm",landscape,https://www.wga.hu/html/i/iriarte/landscap.html
14597,"IRIARTE, Ignacio de",1601-1650,c. 1665,River Crossing,"Oil on canvas, 63 x 84 cm",landscape,https://www.wga.hu/html/i/iriarte/rivercro.html
14598,"ISABEY, Eugène",1801-1850,1830,Louis XIV Entering Paris,"Oil on canvas, 33 x 41 cm",historical,https://www.wga.hu/html/i/isabey/eugene/louis14.html
14599,"ISABEY, Eugène",1801-1850,1833,Beach at Low Tide,"Oil on canvas, 124 x 168 cm",landscape,https://www.wga.hu/html/i/isabey/eugene/beachlow.html
14600,"ISABEY, Eugène",1801-1850,1869,After a Storm,"Oil on canvas, 37 x 60 cm",landscape,https://www.wga.hu/html/i/isabey/eugene/storm.html
14601,"ISENBRANT, Adriaen",1501-1550,-,Mass of St Gregory,"Oil on canvas, 72 x 56 cm",religious,https://www.wga.hu/html/i/isenbran/massgreg.html
14602,"ISENBRANT, Adriaen",1501-1550,-,Rest during the Flight to Egypt,"Wood, 49,4 x 34 cm",religious,https://www.wga.hu/html/i/isenbran/rest.html
14603,"ISENBRANT, Adriaen",1501-1550,-,Rest during the Flight to Egypt,"Oil on panel, 38,1 x 28,5 cm",religious,https://www.wga.hu/html/i/isenbran/rest_fli.html
14604,"ISENBRANT, Adriaen",1501-1550,-,"Archangel St Michael, St Andrew and St Francis of Assisi","Oak panel, 127,3 x 81,2 cm",religious,https://www.wga.hu/html/i/isenbran/saints.html
14605,"ISENBRANT, Adriaen",1501-1550,-,Stigmatisation of St Francis,"Oil on panel, 43 x 30 cm",religious,https://www.wga.hu/html/i/isenbran/stigmati.html
14606,"ISENBRANT, Adriaen",1501-1550,-,Triptych,"Oil on oak panel, 64 x 49 cm (central panel), 70 x 22 cm (each wing)",religious,https://www.wga.hu/html/i/isenbran/triptych.html
14607,"ISENBRANT, Adriaen",1501-1550,1510s,Virgin and Child Enthroned,"Oil on oak panel, 77,5 x 56,5 cm",religious,https://www.wga.hu/html/i/isenbran/virgin_c.html
14608,"ISENBRANT, Adriaen",1501-1550,1518,Portrait of Paulus de Nigro,"Oil on oak panel, 34,5 x 27 cm",portrait,https://www.wga.hu/html/i/isenbran/port_nig.html
14609,"ISENBRANT, Adriaen",1501-1550,1518-35,Our Lady of the Seven Sorrows,Panel,religious,https://www.wga.hu/html/i/isenbran/sevensor.html
14610,"ISENBRANT, Adriaen",1501-1550,1520s,Virgin and Child,"Oak panel, 107,5 x 69 cm",religious,https://www.wga.hu/html/i/isenbran/madonna.html
14611,"ISENBRANT, Adriaen",1501-1550,c. 1520,Virgin and Child,"Oil on panel, 61 x 42 cm",religious,https://www.wga.hu/html/i/isenbran/virchild.html
14612,"ISRAELS, Isaac Lazarus",1851-1900,1893,In the Dance Hall,"Oil on canvas, 76 x 100 cm",genre,https://www.wga.hu/html/i/israels/isaac/dancehal.html
14613,"ISRAËLS, Jozef",1851-1900,1878,We Grow Old,"Oil on canvas, 160 x 101 cm",genre,https://www.wga.hu/html/i/israels/jozef/grow_old.html
14614,"ISRAËLS, Jozef",1851-1900,1903,A Jewish Wedding,"Oil on canvas, 137 x 148 cm",genre,https://www.wga.hu/html/i/israels/jozef/wedding.html
14615,"ITTENBACH, Franz",1801-1850,1849,Portrait of Margarete von Soist,"Oil on canvas, 76 x 66 cm",portrait,https://www.wga.hu/html/i/ittenbac/soist2.html
14616,"ITTENBACH, Franz",1801-1850,1850,Portrait of Dr. Franz Xavier von Soist,"Oil on canvas, 90 x 64 cm",portrait,https://www.wga.hu/html/i/ittenbac/soist1.html
14617,"IVERNY, Jacques",1401-1450,-,Triptych,Tempera on wood,religious,https://www.wga.hu/html/i/iverny/triptych.html
14618,"IVERNY, Jacques",1401-1450,1411-16,Hero and Heroine (detail),Fresco,mythological,https://www.wga.hu/html/i/iverny/hero_her.html
14619,"IVÁNYI GRÜNWALD, Béla",1851-1900,-,Self-Portrait,"Oil on canvas, 90 x 60 cm",portrait,https://www.wga.hu/html/i/ivanyi/9selfpor.html
14620,"IVÁNYI GRÜNWALD, Béla",1851-1900,1890,The Warlord's Sword,"Oil on canvas, 161 x 150 cm",mythological,https://www.wga.hu/html/i/ivanyi/1warlord.html
14621,"IVÁNYI GRÜNWALD, Béla",1851-1900,1897,Woman by the Water,"Oil on canvas, 81 x 99 cm",landscape,https://www.wga.hu/html/i/ivanyi/2woman.html
14622,"IVÁNYI GRÜNWALD, Béla",1851-1900,1900,View of Nagybánya with Gutin,"Oil on canvas, 90,5 x 100,5 cm",landscape,https://www.wga.hu/html/i/ivanyi/4gutin.html
14623,"IVÁNYI GRÜNWALD, Béla",1851-1900,1902,Watering,"Oil on canvas, 130,5 x 151,5 cm",landscape,https://www.wga.hu/html/i/ivanyi/5waterin.html
14624,"IVÁNYI GRÜNWALD, Béla",1851-1900,1903,Outing in Spring,"Oil on canvas, 111,5 x 176 cm",landscape,https://www.wga.hu/html/i/ivanyi/6outing.html
14625,"IVÁNYI GRÜNWALD, Béla",1851-1900,1903,Drying Clothes,"Oil on canvas, 166 x 133 cm",genre,https://www.wga.hu/html/i/ivanyi/7drying.html
14626,"IVÁNYI GRÜNWALD, Béla",1851-1900,1911,Market of Kecskemét in Winter,"Oil on laminated paper, 50 x 73 cm",genre,https://www.wga.hu/html/i/ivanyi/8market.html
14627,"IVÁNYI GRÜNWALD, Béla",1851-1900,c. 1900,In the Valley,"Oil on canvas, 120 x 149 cm",landscape,https://www.wga.hu/html/i/ivanyi/3valley.html